,행정동코드,시군구명,읍면동명,유치원개수
176,1138051000,은평구,녹번동,1.0
177,1138052000,은평구,불광제1동,7.0
178,1138055100,은평구,갈현제1동,1.0
179,1138055200,은평구,갈현제2동,4.0
180,1138056000,은평구,구산동,4.0
181,1138057000,은평구,대조동,1.0
182,1138058000,은평구,응암제1동,3.0
183,1138059000,은평구,응암제2동,5.0
184,1138063100,은평구,신사제1동,3.0
185,1138063200,은평구,신사제2동,2.0
186,1138064000,은평구,증산동,2.0
187,1138065000,은평구,수색동,3.0
188,1138069000,은평구,진관동,4.0
189,1138053000,은평구,불광제2동,1.0
190,1138060000,은평구,응암제3동,5.0
191,1138062500,은평구,역촌동,4.0
192,1141052000,서대문구,천연동,1.0
193,1141062000,서대문구,홍제제1동,3.0
194,1141064000,서대문구,홍제제3동,3.0
195,1141065500,서대문구,홍제제2동,3.0
196,1141066000,서대문구,홍은제1동,2.0
197,1141068500,서대문구,홍은제2동,1.0
198,1141069000,서대문구,남가좌제1동,0.0
199,1141070000,서대문구,남가좌제2동,4.0
200,1141071000,서대문구,북가좌제1동,0.0
201,1141072000,서대문구,북가좌제2동,2.0
202,1141056500,서대문구,충현동,0.0
203,1141055500,서대문구,북아현동,1.0
204,1141058500,서대문구,신촌동,3.0
205,1141061500,서대문구,연희동,2.0
206,1144059000,마포구,용강동,2.0
207,1144060000,마포구,대흥동,2.0
208,1144061000,마포구,염리동,4.0
209,1144063000,마포구,신수동,1.0
210,1144066000,마포구,서교동,3.0
211,1144068000,마포구,합정동,2.0
212,1144069000,마포구,망원제1동,0.0
213,1144070000,마포구,망원제2동,1.0
214,1144071000,마포구,연남동,1.0
215,1144072000,마포구,성산제1동,2.0
216,1144073000,마포구,성산제2동,3.0
217,1144074000,마포구,상암동,4.0
218,1144058500,마포구,도화동,2.0
219,1144065500,마포구,서강동,1.0
220,1144056500,마포구,공덕동,2.0
221,1144055500,마포구,아현동,1.0
222,1147051000,양천구,목1동,2.0
223,1147052000,양천구,목2동,4.0
224,1147053000,양천구,목3동,4.0
225,1147054000,양천구,목4동,2.0
226,1147056000,양천구,신월1동,1.0
227,1147057000,양천구,신월2동,1.0
228,1147058000,양천구,신월3동,2.0
229,1147059000,양천구,신월4동,2.0
230,1147060000,양천구,신월5동,2.0
231,1147061000,양천구,신월6동,1.0
232,1147061100,양천구,신월7동,3.0
233,1147062000,양천구,신정1동,2.0
234,1147063000,양천구,신정2동,1.0
235,1147064000,양천구,신정3동,5.0
236,1147067000,양천구,신정6동,2.0
237,1147068000,양천구,신정7동,3.0
238,1147055000,양천구,목5동,9.0
239,1147065000,양천구,신정4동,4.0
240,1150051000,강서구,염창동,1.0
241,1150052000,강서구,등촌제1동,1.0
242,1150053000,강서구,등촌제2동,1.0
243,1150053500,강서구,등촌제3동,3.0
244,1150059000,강서구,화곡본동,3.0
245,1150055000,강서구,화곡제2동,1.0
246,1150056000,강서구,화곡제3동,1.0
247,1150057000,강서구,화곡제4동,3.0
248,1150059100,강서구,화곡제6동,2.0
249,1150059300,강서구,화곡제8동,1.0
250,1150060300,강서구,가양제1동,3.0
251,1150060400,강서구,가양제2동,3.0
252,1150060500,강서구,가양제3동,4.0
253,1150061100,강서구,발산제1동,2.0
254,1150062000,강서구,공항동,5.0
255,1150063000,강서구,방화제1동,3.0
256,1150064000,강서구,방화제2동,2.0
257,1150064100,강서구,방화제3동,4.0
258,1150054000,강서구,화곡제1동,4.0
259,1150061500,강서구,우장산동,4.0
260,1153051000,구로구,신도림동,3.0
261,1153052000,구로구,구로제1동,2.0
262,1153054000,구로구,구로제3동,3.0
263,1153055000,구로구,구로제4동,2.0
264,1153056000,구로구,구로제5동,1.0
265,1153072000,구로구,고척제1동,1.0
266,1153073000,구로구,고척제2동,0.0
267,1153075000,구로구,개봉제2동,4.0
268,1153076000,구로구,개봉제3동,1.0
