,행정동코드,행정동,0509세,1014세,0514세,시군구명,키움센터_상시돌봄정원,키움센터_일시돌봄정원,키움센터_개수,초등돌봄교실_이용인원,초등돌봄교실_교실개수,지역아동센터_정원,지역아동센터_개수,방과후아카데미_정원,방과후아카데미_개수,총시설수,시설tfidf,돌봄교실이용비율,tfidf*이용비율,행정동별0514세/전체0514세,tfidf*이용비율*인구비율,시설 정원 및 이용비율,tfidf*정원 및 이용비율*인구비율,예술학원,보습학원개수,총학원수,대체시설tfidf,1인당학원수,수요지수,IQR
16,1174051500,강일동,1670,2467,4137,강동구,0.0,0.0,0.0,263.0,13.0,19.0,1.0,40.0,1.0,15.0,0.8545720278353393,0.006021200119050343,0.005145549195739239,0.005672998338004838,2.9190692035550836e-05,60.00005840098114,0.2908794247440393,23,16.0,39.0,0.003044734171285815,0.009427121102248005,95.53524491144614,4
17,1171057000,오금동,1491,1429,2920,송파구,0.0,0.0,0.0,211.0,10.0,91.0,3.0,0.0,0.0,13.0,0.7477505243559218,0.00483069667345864,0.003612155970583106,0.00400414676020646,1.4463602626970767e-05,92.00005840098112,0.2754576360964485,42,35.0,77.0,0.006011398235615583,0.02636986301369863,45.82255663323908,4
18,1147058000,신월3동,539,496,1035,양천구,0.0,0.0,0.0,81.0,4.0,268.0,6.0,20.0,1.0,11.0,0.6409290208765044,0.001854438059479384,0.0011885631697382461,0.0014192780468540024,1.6869016141086996e-06,289.0000584009811,0.2628907784231892,8,3.0,11.0,0.0008587711765165118,0.010628019323671498,306.1243618929664,4
19,1168072000,일원본동,1545,1815,3360,강남구,45.0,3.0,1.0,160.0,9.0,0.0,0.0,40.0,1.0,11.0,0.6409290208765044,0.0036630875248975475,0.0023477791007175232,0.004607511340511543,1.081741883157198e-05,89.00005840098112,0.26282498062470033,19,5.0,24.0,0.0018736825669451167,0.007142857142857143,140.27188236757445,4
20,1154567000,시흥제1동,1071,1045,2116,금천구,0.0,0.0,0.0,169.0,8.0,115.0,4.0,0.0,0.0,12.0,0.6943397726162132,0.0038691361981730353,0.002686495148060625,0.0029016351180126266,7.795228665983239e-06,116.00005840098112,0.23370771515617206,31,16.0,47.0,0.003669295026934187,0.0222117202268431,63.69281113692357,4
21,1138056000,구산동,1132,1264,2396,은평구,0.0,0.0,0.0,182.0,8.0,108.0,3.0,0.0,0.0,11.0,0.6409290208765044,0.004166762059570961,0.002670598727066183,0.0032855943963885892,8.77450421265115e-06,109.00005840098112,0.2295358981254404,27,12.0,39.0,0.003044734171285815,0.0162771285475793,75.38782869458375,4
22,1126056500,면목본동,900,877,1777,중랑구,0.0,0.0,0.0,245.0,10.0,116.0,4.0,0.0,0.0,14.0,0.8011612760956306,0.00560910277249937,0.004493795934967135,0.002436770134550301,1.0950347725091465e-05,117.00005840098112,0.22841288086719505,21,11.0,32.0,0.002498243422593489,0.018007878446820485,91.42939346962191,4
23,1159053000,상도제1동,1719,1565,3284,동작구,0.0,0.0,0.0,252.0,11.0,64.0,2.0,0.0,0.0,13.0,0.7477505243559218,0.005769362851713638,0.004314044097568449,0.004503293822095211,1.9427408132826308e-05,65.00005840098113,0.21887731724800927,39,19.0,58.0,0.004528066203450699,0.01766138855054811,48.337923390168115,4
24,1159060500,흑석동,1311,1002,2313,동작구,0.0,0.0,0.0,216.0,10.0,84.0,4.0,0.0,0.0,14.0,0.8011612760956306,0.0049451681586116895,0.003961877232460821,0.003171777896012857,1.2566194632635825e-05,85.00005840098112,0.21599412666929566,19,10.0,29.0,0.0022640331017253494,0.012537829658452227,95.40237132782786,4
25,1135058000,월계3동,1262,1063,2325,노원구,24.0,4.0,1.0,198.0,9.0,64.0,2.0,0.0,0.0,12.0,0.6943397726162132,0.004533070812060716,0.0031474913568994307,0.003188233293657541,1.0034936735566116e-05,93.00005840098112,0.2058758270386577,10,7.0,17.0,0.001327191818252791,0.007311827956989247,155.1213805022451,4
26,1135061900,중계본동,1238,2121,3359,노원구,40.0,8.0,1.0,106.0,4.0,54.0,2.0,0.0,0.0,7.0,0.4272860139176696,0.0024267954852446256,0.0010369357694835731,0.004606140057374486,4.7762713847427216e-06,103.00005840098112,0.20271845508145286,30,53.0,83.0,0.006479818877351862,0.02470973504019053,31.28458664022084,3
27,1129070500,종암동,1666,1788,3454,성북구,0.0,0.0,0.0,156.0,7.0,79.0,2.0,0.0,0.0,9.0,0.5341075173970871,0.0035715103367751095,0.001907570519332988,0.004736411955394902,9.035039813527626e-06,80.00005840098112,0.20238040620933898,30,30.0,60.0,0.004684206417362792,0.017371163867979156,43.20484371892372,4
28,1135070000,상계8동,1206,1028,2234,노원구,48.0,10.0,2.0,243.0,11.0,23.0,1.0,0.0,0.0,14.0,0.8011612760956306,0.005563314178438151,0.004457111886518424,0.0030634465281853536,1.3654123934488535e-05,82.00005840098112,0.2012539511756682,14,9.0,23.0,0.00179561245998907,0.010295434198746643,112.0809504612667,4
29,1138055200,갈현제2동,955,1062,2017,은평구,20.0,4.0,1.0,96.0,5.0,109.0,3.0,0.0,0.0,9.0,0.5341075173970871,0.002197852514938529,0.0011738895503587618,0.002765878087443983,3.2468353844167703e-06,134.00005840098115,0.1979551076212171,29,35.0,64.0,0.004996486845186978,0.03173029251363411,39.61885896125265,4
30,1132066000,쌍문제1동,716,708,1424,도봉구,0.0,0.0,0.0,281.0,13.0,110.0,3.0,0.0,0.0,16.0,0.907982779575048,0.006433297465601319,0.0058413233146497965,0.0019527071871691774,1.1406394019095545e-05,111.00005840098112,0.1968058229910972,16,7.0,23.0,0.00179561245998907,0.016151685393258428,109.60372985621584,4
31,1150051000,염창동,2436,2335,4771,강서구,25.0,5.0,1.0,202.0,8.0,19.0,1.0,0.0,0.0,10.0,0.5875182691367957,0.004624648000183154,0.0027170651884345504,0.006542391846898981,1.7776105136307243e-05,50.00005840098114,0.1921889611754544,40,40.0,80.0,0.0062456085564837225,0.016767973171242925,30.77185504620494,3
32,1153076000,개봉제3동,730,719,1449,구로구,20.0,4.0,1.0,220.0,11.0,88.0,3.0,0.0,0.0,15.0,0.8545720278353393,0.005036745346734129,0.004304261684648794,0.001986989265595603,8.5525217637116e-06,113.00005840098112,0.19187697456289274,19,13.0,32.0,0.002498243422593489,0.022084195997239476,76.8047552242529,4
33,1162076500,미성동,1083,1114,2197,관악구,0.0,0.0,0.0,187.0,9.0,98.0,2.0,0.0,0.0,11.0,0.6409290208765044,0.0042812335447240096,0.0027439668239636053,0.0030127090521142445,8.266773689256328e-06,99.00005840098112,0.19116244640114108,27,15.0,42.0,0.003278944492153954,0.019116977696859355,58.299994665528956,4
34,1156060500,문래동,1752,1574,3326,영등포구,25.0,5.0,1.0,280.0,12.0,0.0,0.0,20.0,1.0,14.0,0.8011612760956306,0.00641040316857071,0.0051357667828195825,0.004560887713851605,2.342365562096902e-05,51.00005840098114,0.18635455106644172,33,17.0,50.0,0.0039035053478023267,0.01503307276007216,47.740308892201035,4
35,1159054000,상도제2동,1205,938,2143,동작구,0.0,0.0,0.0,134.0,6.0,106.0,3.0,0.0,0.0,9.0,0.5341075173970871,0.0030678358021016964,0.0016385541640424382,0.0029386597627131658,4.815153190897621e-06,107.00005840098112,0.16794304058996598,16,15.0,31.0,0.0024201733156374423,0.014465702286514233,69.39298086828627,4
36,1150062000,공항동,1339,818,2157,강서구,0.0,0.0,0.0,305.0,14.0,57.0,3.0,0.0,0.0,17.0,0.9613935313147568,0.00698276059433595,0.006713180866114169,0.002957857726631964,1.9856633895113654e-05,58.00005840098114,0.16493275259897652,22,7.0,29.0,0.0022640331017253494,0.013444598980064905,72.84909062207898,4
37,1154562000,독산제2동,526,559,1085,금천구,0.0,0.0,0.0,157.0,9.0,146.0,4.0,0.0,0.0,13.0,0.7477505243559218,0.0035944046338057187,0.0026877179496755817,0.0014878422037068527,3.998900197187782e-06,147.00005840098115,0.16354267880628154,10,9.0,19.0,0.001483332032164884,0.017511520737327188,110.25358804366633,4
38,1135066500,상계3.4동,894,898,1792,노원구,32.0,6.0,1.0,114.0,6.0,84.0,2.0,0.0,0.0,9.0,0.5341075173970871,0.0026099498614895033,0.0013939938410510294,0.002457339381606157,3.425515963331128e-06,123.00005840098112,0.1614355393412666,12,7.0,19.0,0.001483332032164884,0.010602678571428572,108.83304333801493,4
