SC_NO,행정동코드,행정동,SCHUL_NM,ADRES,TELNO,OLD_ZIP,latitude,longitude,geometry
3535,1121578000,능동,어린이회관유치원,서울특별시 광진구 능동 18-11,02-2204-6100,143-180,37.54679000091372,127.07776299999666,POINT (127.0777629999967 37.54679000091372)
4276,1138062500,역촌동,엔젤유치원,서울특별시 은평구 역촌1동 29-24번지,02-355-8868,122-071,37.604226000913066,126.91897599999899,POINT (126.918975999999 37.60422600091307)
2603,1165053100,서초4동,여나유치원,서울특별시 서초구 서초1동 1685,02-536-1118,137-070,37.49840700091461,127.01564800000257,POINT (127.0156480000026 37.49840700091461)
3822,1171064100,문정1동,여래유치원,서울특별시 송파구 문정동 69-2,02-402-8788,138-200,37.48312500091093,127.12444100000228,POINT (127.1244410000023 37.48312500091093)
2978,1156054000,여의동,여의도유치원,서울특별시 영등포구 여의도동 50-1,02-782-0555,150-010,37.521494000913194,126.93890500000386,POINT (126.9389050000039 37.52149400091319)
2979,1156054000,여의동,여의유치원,서울특별시 영등포구 여의도동 32-1,02-782-1492,150-883,37.52252300091386,126.93115199999907,POINT (126.9311519999991 37.52252300091386)
3700,1111063000,종로5.6가동,연동유치원,서울특별시 종로구 연지동 136-12,02-742-5008,110-470,37.573535000911626,127.00158499999998,POINT (127.001585 37.57353500091163)
4277,1135062500,중계2.3동,연세유치원,서울특별시 노원구 중계2동 505,02-975-6786,139-863,37.6387110009084,127.06253200000384,POINT (127.0625320000038 37.6387110009084)
3914,1141070000,남가좌제2동,연유치원,서울특별시 서대문구 남가좌동 322-35,02-307-4091,120-120,37.58184600090921,126.92406599999447,POINT (126.9240659999945 37.58184600090921)
4280,1159066000,대방동,열림유치원,서울특별시 동작구 대방동 503-1,02-825-5021,156-020,37.508918000912224,126.92919699999995,POINT (126.9291969999999 37.50891800091222)
3307,1135057000,월계2동,염광유치원,서울특별시 노원구 월계동 820,02-902-5204,139-052,37.63073900091392,127.05045400000346,POINT (127.0504540000035 37.63073900091392)
4281,1129058000,돈암제1동,영광유치원,서울특별시 성북구 돈암1동 630-10,02-923-5900,136-061,37.596025000914814,127.02318500000202,POINT (127.023185000002 37.59602500091481)
3786,1168058000,삼성1동,영동제일유치원,서울특별시 강남구 삼성동 63-10,02-544-3111,135-090,37.51740300091526,127.05333900000393,POINT (127.0533390000039 37.51740300091526)
3769,1174062000,천호제3동,천호유치원,서울특별시 강동구 천호3동 397-74,02-470-1633,134-023,37.541669000909444,127.13084099999804,POINT (127.130840999998 37.54166900090944)
3541,1121581000,광장동,청구이화유치원,서울특별시 광진구 광장동 566,02-458-5981,143-210,37.54222100091417,127.09638800000378,POINT (127.0963880000038 37.54222100091417)
3705,1111070000,숭인제1동,청룡유치원,서울특별시 종로구 숭인1동 48-2,02-742-7782,110-823,37.579419000914186,127.01667699999491,POINT (127.0166769999949 37.57941900091419)
4363,1135062100,중계1동,청솔유치원,서울특별시 노원구 중계동 359-4,02-951-8383,139-221,37.65284100091187,127.07768799999957,POINT (127.0776879999996 37.65284100091187)
4364,1132051400,창제4동,청아유치원,서울특별시 도봉구 창4동 808,02-907-3811,132-044,37.657257000917056,127.04829099999506,POINT (127.0482909999951 37.65725700091706)
3088,1126060000,중화제1동,정실유치원,서울특별시 중랑구 중화1동 86-3번지,02-491-4455,131-121,37.602528000909494,127.08231900000465,POINT (127.0823190000046 37.60252800090949)
3823,1171056200,방이2동,정일유치원,서울특별시 송파구 방이동 137-7,02-419-3017,138-050,37.510374000915384,127.11731300000422,POINT (127.1173130000042 37.51037400091538)
3317,1135062100,중계1동,청암유치원,서울특별시 노원구 중계1동 411-1,02-934-5119,139-862,37.651346000912106,127.07434100000117,POINT (127.0743410000012 37.65134600091211)
3787,1168065000,역삼2동,청운교회부설유치원,서울특별시 강남구 역삼동 784-3,02-3453-0902,135-080,37.494967000909746,127.04552600000021,POINT (127.0455260000002 37.49496700090975)
4365,1135071000,상계9동,청원유치원,서울특별시 노원구 상계9동 641,02-3399-7887,139-822,37.666001000915,127.0623030000024,POINT (127.0623030000024 37.666001000915)
2988,1156061000,양평제1동,청은유치원,서울특별시 영등포구 양평동1가 20,02-2677-0623,150-101,37.52207500091056,126.88653000000019,POINT (126.8865300000002 37.52207500091056)
3318,1135057000,월계2동,초안유치원,서울특별시 노원구 월계2동 924,02-996-2101,139-052,37.63116400090891,127.04278900000564,POINT (127.0427890000056 37.63116400090891)
4367,1168069000,개포4동,초원유치원,서울특별시 강남구 포이동 222-6,02-578-5248,135-260,37.47595200091014,127.04858299999634,POINT (127.0485829999963 37.47595200091014)
3187,1159064000,사당제3동,총신대부속유치원,서울특별시 동작구 사당3동 산31-3,02-591-5404,156-763,37.49076600090832,126.96711200000232,POINT (126.9671120000023 37.49076600090832)
3706,1117063000,이촌제1동,충신유치원,서울특별시 용산구 이촌동 409,02-793-7618,140-031,37.520592000910064,126.973523000001,POINT (126.973523000001 37.52059200091006)
3456,1138060000,응암제3동,충암유치원,서울특별시 서대문구 남가좌동 2-3번지,02-372-8678,120-120,37.58470500091266,126.92236099999666,POINT (126.9223609999967 37.58470500091266)
4368,1156054000,여의동,침례유치원,서울특별시 영등포구 여의도동 53-13,02-783-2529,150-895,37.517704000910385,126.93432000000476,POINT (126.9343200000048 37.51770400091038)
4369,1156072000,대림제3동,큰나무유치원,서울특별시 영등포구 대림3동 608-1,02-832-3904,150-073,37.505320000913116,126.89561199999758,POINT (126.8956119999976 37.50532000091312)
4370,1162057500,행운동,큰솔유치원,서울특별시 관악구 봉천6동 1706,02-889-8381,151-056,37.484798000907595,126.95953900000539,POINT (126.9595390000054 37.4847980009076)
3761,1129072500,월곡제2동,탑주유치원,서울특별시 성북구 하월곡동 22,02-913-5548,136-130,37.604518000909756,127.04136399999734,POINT (127.0413639999973 37.60451800090976)
3457,1144059000,용강동,태영유치원,서울특별시 마포구 대흥동 660번지,02-3275-7667,121-080,37.54460200091418,126.94249299999974,POINT (126.9424929999997 37.54460200091418)
3934,1135060000,공릉2동,토마토유치원,서울특별시 노원구 공릉2동 우방아파트 408-6,02-972-7373,139-804,37.625958000908746,127.07926600000418,POINT (127.0792660000042 37.62595800090875)
2848,1147065000,신정4동,튼튼유치원,서울특별시 양천구 신정5동 915-4,02-2604-4151,158-075,37.52596700090973,126.85729500000058,POINT (126.8572950000006 37.52596700090973)
4371,1156072000,대림제3동,파란나라유치원,서울특별시 영등포구 대림동 652-1,02-844-7115,150-070,37.50311000091549,126.89734099999724,POINT (126.8973409999972 37.50311000091549)
4372,1156072000,대림제3동,파랑새유치원,서울특별시 영등포구 대림동 670-1,02-834-0349,150-070,37.50233600091063,126.90026999999824,POINT (126.9002699999982 37.50233600091063)
2989,1156070000,대림제1동,평강유치원,서울특별시 영등포구 대림1동 912-46,02-848-0502,150-071,37.494930000909804,126.90810300000244,POINT (126.9081030000024 37.4949300009098)
4373,1156056000,당산제2동,평화유치원,서울특별시 영등포구 당산동5가 7-54,02-2635-0525,150-045,37.53236200091542,126.89679700000471,POINT (126.8967970000047 37.53236200091542)
4375,1171058000,송파1동,푸른꿈유치원,서울특별시 송파구 송파동 145-7,02-414-9742,138-170,37.50697200091159,127.11539700000007,POINT (127.1153970000001 37.50697200091159)
4374,1126062000,묵제1동,푸른꿈유치원,서울특별시 중랑구 묵1동 20번지 신내5단지내,02-3421-1004,131-141,37.61687300091466,127.08823599999624,POINT (127.0882359999962 37.61687300091466)
3091,1123061000,답십리제2동,푸른솔유치원,서울특별시 동대문구 답십리2동 청솔우성아파트 단지내 80번지,02-2243-3553,130-756,37.574527000908006,127.05983899999846,POINT (127.0598389999985 37.57452700090801)
4377,1147065000,신정4동,푸른유치원,서울특별시 양천구 신정4동 1011-3,02-2698-0250,158-860,37.52301600091273,126.86238599999595,POINT (126.862385999996 37.52301600091273)
4376,1168072000,일원본동,푸른유치원,서울특별시 강남구 일원본동 719,02-2226-2697,135-230,37.48364900091336,127.08075499999819,POINT (127.0807549999982 37.48364900091336)
3319,1135072000,상계10동,풍천유치원,서울특별시 노원구 상계10동 673,02-937-1616,139-825,37.66120600090952,127.06099200000288,POINT (127.0609920000029 37.66120600090952)
4378,1121587000,구의제3동,프라임유치원,서울특별시 광진구 구의동 631-1,02-453-0671,143-203,37.537230000909474,127.09759099999803,POINT (127.097590999998 37.53723000090947)
4500,1138069000,진관동,하나유치원,서울특별시 은평구 진관동 진관4로 93,02-353-7004,122-200,37.648448000917,126.92984900000563,POINT (126.9298490000056 37.648448000917)
4382,1130557500,삼각산동,하나유치원,서울특별시 강북구 미아7동 1353,02-984-7557,142-107,37.617886000912456,127.01253400000402,POINT (127.012534000004 37.61788600091246)
4381,1111056000,평창동,하나유치원,서울특별시 종로구 평창동 439-5,02-394-1152,110-012,37.6143070009164,126.97743500000018,POINT (126.9774350000002 37.6143070009164)
4380,1165054000,잠원동,하나유치원,서울특별시 서초구 잠원동 56-3,02-595-6584,137-030,37.51606200090728,127.01074400000186,POINT (127.0107440000019 37.51606200090728)
2589,1168073000,일원1동,하늘빛유치원,서울특별시 강남구 일원1동 711,02-451-7000,135-230,37.492607000914816,127.09026899999654,POINT (127.0902689999965 37.49260700091482)
4384,1135057000,월계2동,하늘유치원,서울특별시 노원구 월계2동 774,02-998-0285,139-851,37.63555900091595,127.05146899999721,POINT (127.0514689999972 37.63555900091595)
