,행정동코드,시군구명,행정동명,공동주택_개수,공동주택_건축면적(㎡),공동주택_건폐율(%),공동주택_연면적(㎡),공동주택_용적률(%),공동주택_세대수,공동주택_가구수,단독주택_개수,단독주택_건축면적(㎡),단독주택_건폐율(%),단독주택_가구수,공장_개수,공장_건축면적(㎡),동별총학원,동별입시학원수,버스정류장,도서관,박물관/미술관,공원,지하철역,병원수,유통개수,5~9세,10~14세,5~14세,아동 비율
150,1132066000,도봉구,쌍문제1동,1317,177.18605186028873,39.38649741837516,140.52250205011399,1452.4590611237647,17.669703872437356,0.06985573272589218,2353.0,72.83263493412669,32.398171409264734,2.207394815129622,1.0,134.2,59.69203663065497,13.733858035111412,88.0,4.0,2.0,0.0,0.0,21,0,813,1048,1861,0.09894199599999999
151,1132067000,도봉구,쌍문제2동,1317,177.18605186028873,39.38649741837516,140.52250205011399,1452.4590611237647,17.669703872437356,0.06985573272589218,2353.0,72.83263493412669,32.398171409264734,2.207394815129622,1.0,134.2,53.10644050834378,12.218653540079098,88.0,1.0,0.0,0.0,0.0,32,0,1028,1058,2086,0.06239531
152,1132068000,도봉구,쌍문제3동,1317,177.18605186028873,39.38649741837516,140.52250205011399,1452.4590611237647,17.669703872437356,0.06985573272589218,2353.0,72.83263493412669,32.398171409264734,2.207394815129622,1.0,134.2,45.97562578373686,10.578005932285135,88.0,1.0,0.0,0.0,0.0,20,0,756,523,1279,0.073552246
153,1132068100,도봉구,쌍문제4동,1317,177.18605186028873,39.38649741837516,140.52250205011399,1452.4590611237647,17.669703872437356,0.06985573272589218,2353.0,72.83263493412669,32.398171409264734,2.207394815129622,1.0,134.2,52.57465093566123,12.09630015915887,88.0,1.0,0.0,1.0,0.0,63,0,1370,1213,2583,0.063900846
154,1132069000,도봉구,방학제1동,1036,323.0964597490349,38.58566283783783,136.60147017374527,1942.1606347490329,21.16023166023166,0.015444015444015444,1989.0,78.65612870789353,39.81948450930113,3.0291603821015585,1.0,214.94,79.70129075431659,18.33755847882705,57.0,2.0,0.0,0.0,0.0,30,0,652,766,1418,0.048780488
155,1132070000,도봉구,방학제2동,1036,323.0964597490349,38.58566283783783,136.60147017374527,1942.1606347490329,21.16023166023166,0.015444015444015444,1989.0,78.65612870789353,39.81948450930113,3.0291603821015585,1.0,214.94,55.958766398186555,12.874912583196682,57.0,1.0,0.0,0.0,0.0,2,0,221,235,456,0.033750277999999995
156,1132071000,도봉구,방학제3동,1036,323.0964597490349,38.58566283783783,136.60147017374527,1942.1606347490329,21.16023166023166,0.015444015444015444,1989.0,78.65612870789353,39.81948450930113,3.0291603821015585,1.0,214.94,76.08351017652166,17.50518472074853,57.0,4.0,0.0,0.0,0.0,66,0,430,386,816,0.034098032
157,1135056000,노원구,월계1동,768,270.9257430989584,13.092864583333336,45.65912760416668,3679.098380729171,40.106770833333336,0.0026041666666666665,736.0,72.38725543478256,21.295029347826098,2.161684782608696,3.0,441.59666666666664,95.32232229790954,20.754953183713823,25.0,1.0,0.0,0.0,0.0,64,0,927,786,1713,0.061069519
158,1135057000,노원구,월계2동,768,270.9257430989584,13.092864583333336,45.65912760416668,3679.098380729171,40.106770833333336,0.0026041666666666665,736.0,72.38725543478256,21.295029347826098,2.161684782608696,3.0,441.59666666666664,113.25208379843201,24.65887989854439,25.0,3.0,1.0,0.0,0.0,16,0,1206,828,2034,0.079515246
159,1135058000,노원구,월계3동,768,270.9257430989584,13.092864583333336,45.65912760416668,3679.098380729171,40.106770833333336,0.0026041666666666665,736.0,72.38725543478256,21.295029347826098,2.161684782608696,3.0,441.59666666666664,126.19529454582293,27.47706274001437,25.0,5.0,0.0,0.0,1.0,38,0,381,326,707,0.047709022000000004
