,ADMI_CD,ADMI_NM,CTY_NM,CNT0514
690,11650531,서초4동,서초구,4316
691,11500590,화곡본동,강서구,2531
692,11200520,왕십리2동,성동구,1157
693,11680531,논현2동,강남구,1183
694,11380551,갈현1동,은평구,1302
695,11290640,정릉3동,성북구,727
696,11530560,구로5동,구로구,1652
697,11140570,필동,중구,180
698,11440565,공덕동,마포구,2161
699,11380690,진관동,은평구,7384
700,11620725,조원동,관악구,784
701,11500630,방화1동,강서구,4970
702,11110600,가회동,종로구,300
703,11290590,돈암2동,성북구,2782
704,11710710,잠실6동,송파구,1689
705,11680510,신사동,강남구,1422
706,11290660,길음1동,성북구,5305
707,11320670,쌍문2동,도봉구,1197
708,11560660,신길4동,영등포구,467
709,11305595,번1동,강북구,875
710,11440710,연남동,마포구,672
711,11170560,원효로1동,용산구,1083
712,11410700,남가좌2동,서대문구,2540
713,11740660,성내3동,강동구,1430
714,11620665,서림동,관악구,958
715,11650581,반포4동,서초구,2063
716,11260570,면목7동,중랑구,1169
717,11350621,중계1동,노원구,4539
718,11710680,잠실3동,송파구,4099
719,11500535,등촌3동,강서구,1787
720,11260600,중화1동,중랑구,1330
721,11680750,수서동,강남구,487
722,11140645,청구동,중구,826
723,11260565,면목본동,중랑구,1777
724,11260655,망우본동,중랑구,1637
725,11500510,염창동,강서구,4771
726,11215870,구의3동,광진구,2185
727,11650600,방배1동,서초구,1210
728,11620685,신사동,관악구,939
729,11200570,행당2동,성동구,2072
730,11200790,용답동,성동구,552
731,11410620,홍제1동,서대문구,1699
732,11290715,월곡1동,성북구,2603
733,11710641,문정1동,송파구,1390
734,11305555,송천동,강북구,1397
735,11410615,연희동,서대문구,2232
736,11560690,신길7동,영등포구,1911
737,11305534,삼양동,강북구,1636
738,11350580,월계3동,노원구,2325
739,11290630,정릉2동,성북구,1683
740,11350695,상계6.7동,노원구,2928
741,11530730,고척2동,구로구,2257
742,11410660,홍은1동,서대문구,1568
743,11620575,행운동,관악구,1238
744,11710580,송파1동,송파구,1225
745,11110580,교남동,종로구,885
746,11545690,시흥3동,금천구,645
747,11620595,청룡동,관악구,1315
748,11305660,인수동,강북구,2023
749,11560720,대림3동,영등포구,1298
750,11200720,송정동,성동구,556
751,11620545,청림동,관악구,1242
752,11545640,독산4동,금천구,820
753,11500615,우장산동,강서구,5264
754,11650652,양재2동,서초구,1609
755,11470611,신월7동,양천구,1263
756,11710632,가락2동,송파구,3328
757,11590651,사당5동,동작구,988
758,11215740,중곡1동,광진구,683
759,11215730,군자동,광진구,995
760,11215820,자양1동,광진구,1261
761,11470610,신월6동,양천구,1076
762,11545630,독산3동,금천구,1182
763,11680660,개포1동,강남구,555
764,11620715,난향동,관악구,1454
765,11110670,창신1동,종로구,174
766,11740520,상일동,강동구,3939
767,11230720,휘경1동,동대문구,665
768,11500593,화곡8동,강서구,1513
769,11560630,신길1동,영등포구,698
770,11380580,응암1동,은평구,2039
771,11410640,홍제3동,서대문구,864
772,11560680,신길6동,영등포구,981
773,11380590,응암2동,은평구,2783
774,11710720,잠실7동,송파구,845
775,11200670,성수2가1동,성동구,868
776,11470520,목2동,양천구,2074
777,11650651,양재1동,서초구,5145
778,11380640,증산동,은평구,1005
779,11470510,목1동,양천구,4877
780,11305635,수유3동,강북구,941
781,11590620,사당1동,동작구,800
782,11110550,부암동,종로구,815
783,11290650,정릉4동,성북구,2004
784,11620615,중앙동,관악구,460
785,11170700,보광동,용산구,575
786,11290525,성북동,성북구,981
787,11530770,오류1동,구로구,1130
788,11530520,구로1동,구로구,2148
789,11350595,공릉1동,노원구,2478
790,11560515,영등포본동,영등포구,1289
791,11440690,망원1동,마포구,1212
792,11350600,공릉2동,노원구,3878
793,11380631,신사1동,은평구,1823
794,11680655,도곡1동,강남구,2391
795,11140580,장충동,중구,218
796,11470580,신월3동,양천구,1035
797,11380552,갈현2동,은평구,2017
798,11740515,강일동,강동구,4137
799,11530760,개봉3동,구로구,1449
800,11200535,왕십리도선동,성동구,1980
801,11545610,독산1동,금천구,2721
802,11680600,대치1동,강남구,4550
803,11260550,면목5동,중랑구,548
804,11650530,서초3동,서초구,2032
805,11320513,창3동,도봉구,978
806,11380600,응암3동,은평구,1236
807,11110540,삼청동,종로구,165
808,11440590,용강동,마포구,2593
809,11650570,반포2동,서초구,2856
810,11110640,이화동,종로구,355
811,11305545,송중동,강북구,1855
812,11320512,창2동,도봉구,2049
813,11200645,옥수동,성동구,2138
814,11260610,중화2동,중랑구,1048
815,11290810,석관동,성북구,2106
816,11215847,자양4동,광진구,746
817,11440730,성산2동,마포구,3178
818,11650660,내곡동,서초구,1990
819,11200690,성수2가3동,성동구,532
820,11740590,암사3동,강동구,2305
821,11710646,장지동,송파구,2574
822,11560585,도림동,영등포구,916
823,11320710,방학3동,도봉구,2608
824,11740530,명일1동,강동구,2328
825,11710600,석촌동,송파구,1690
826,11530550,구로4동,구로구,947
827,11470630,신정2동,양천구,2389
828,11170520,용산2가동,용산구,460
829,11710631,가락1동,송파구,2841
830,11350560,월계1동,노원구,1523
831,11320514,창4동,도봉구,2327
832,11590605,흑석동,동작구,2313
833,11140540,회현동,중구,224
834,11560700,대림1동,영등포구,585
835,11740690,둔촌1동,강동구,11
836,11260590,상봉2동,중랑구,700
837,11500570,화곡4동,강서구,1298
838,11260690,신내2동,중랑구,1626
839,11740560,고덕2동,강동구,2270
840,11350570,월계2동,노원구,1996
841,11500604,가양2동,강서구,448
842,11230660,장안2동,동대문구,3110
843,11530595,가리봉동,구로구,267
844,11560550,당산1동,영등포구,959
845,11410720,북가좌2동,서대문구,2093
846,11650620,방배3동,서초구,1617
847,11560670,신길5동,영등포구,747
