,도서관명,위도,경도,시군구명,소재지도로명주소,운영기관명,동
3028,용강동작은도서관,37.542328000000005,126.94283,마포구,"서울특별시 마포구 토정로31길 31, 2층",(사)기독교대한감리회사회복지재단,토정로31길
3029,초록숲작은도서관,37.552161,126.951225,마포구,"서울특별시 마포구 마포대로11길 44-81, B1층",(사)한국청소년지원네트워크,마포대로11길
3030,마포푸르메어린이도서관,37.584644,126.88051499999999,마포구,"서울특별시 마포구 월드컵북로 494, 1층",푸르메재단,월드컵북로
3038,사람아이앤지작은도서관,,,광진구,서울특별시 광진구 천호대로 691(구의동),,천호대로
3057,서초구립반포도서관,37.502601,127.012615,서초구,서울특별시 서초구 고무래로 34,서초문화재단,고무래로
3058,서초구립내곡도서관,37.452838,127.05416899999999,서초구,서울특별시 서초구 청계산로7길 9-20,서초문화재단,청계산로7길
3059,서이도서관,37.4920294,127.02494399999999,서초구,서울특별시 서초구 서초대로70길 51,서초문화재단,서초대로70길
3060,잠원도서관,37.515249,127.01396499999998,서초구,서울특별시 서초구 나루터로 38,서초문화재단,나루터로
3061,방배도서관,37.480523,126.99907900000001,서초구,서울특별시 서초구 방배로40,서초문화재단,주의!!서울특별시 서초구 방배로40
3062,서초그림책도서관,37.490761,127.00463899999998,서초구,서울특별시 서초구 명달로150,서초문화재단,주의!!서울특별시 서초구 명달로150
3170,광진정보도서관,,,광진구,서울특별시 광진구 아차산로78길 90(광장동),광진구시설관리공단,아차산로78길
3171,중곡문화체육센터도서관,,,광진구,서울특별시 광진구 능동로 433(중곡동),광진구시설관리공단,능동로
3172,자양제4동도서관,,,광진구,서울특별시 광진구 뚝섬로26길 58(자양동),광진구시설관리공단,뚝섬로26길
3173,구의제3동도서관,,,광진구,서울특별시 광진구 강변역로 17(구의동),광진구시설관리공단,강변역로
3174,중곡1동새마을작은도서관,,,광진구,서울특별시 광진구 긴고랑로12길 49(중곡동),,긴고랑로12길
3175,중곡2동새마을작은도서관,,,광진구,서울특별시 광진구 능동로 346(중곡동),,능동로
3176,중곡3동새마을작은도서관,,,광진구,서울특별시 광진구 동일로76가길 28(중곡동),,동일로76가길
3177,중곡4동새마을작은도서관,,,광진구,서울특별시 광진구 긴고랑로 131(중곡동),,긴고랑로
3178,능동새마을작은도서관,,,광진구,서울특별시 광진구 천호대로112길 55(능동),,천호대로112길
3179,구의1동새마을작은도서관,,,광진구,서울특별시 광진구 자양로28가길 22-3(구의동),,자양로28가길
3180,구의2동새마을작은도서관,,,광진구,서울특별시 광진구 천호대로136길 55(구의동),,천호대로136길
3181,광장동새마을작은도서관,,,광진구,서울특별시 광진구 광장로 52(광장동),,광장로
3182,자양1동새마을작은도서관,,,광진구,서울특별시 광진구 자양로13길 37(자양동),,자양로13길
