,시설명,위도,경도,소재지도로명주소,운영기관명,관리기관명,동
56,우석뮤지엄,37.59371971,126.96265749999999,서울특별시 서대문구 신촌로129 아트레온 5층,아트레온,아트레온,신촌로129
57,유금와당박물관,37.55496014,126.9338173,서울특별시 종로구 창의문로 11가길 4,유창종.금기숙,유창종.금기숙,창의문로
58,이한열기념관,37.56623131,126.97069499999999,서울특별시 마포구 신촌로 12나길 26,문화체육관광부,문화체육관광부,신촌로
59,이화박물관,,,서울특별시 중구 정동길 26,이화여자고등학교,이화여자고등학교,정동길
60,인도박물관,,,"서울특별시 서초구 서초중앙로2길 35, 2층",김양식,김양식,서초중앙로2길
61,전기박물관,37.485889,127.028535,서울특별시 서초구 효령로 72길 60,한국전력공사,한국전력공사,효령로
62,전쟁과여성인권박물관,37.560103000000005,126.914879,서울특별시 마포구 월드컵북로11길 20호,한국정신대문제대책협의회,한국정신대문제대책협의회,월드컵북로11길
63,전쟁기념관,35.44802,128.386295,서울특별시 용산구 이태원로 29번지(용산동 1가),전쟁기념사업회,전쟁기념사업회,이태원로
64,종이나라박물관,37.559634,127.00616000000001,서울특별시 중구 장충단로 166 종이나라빌딩 2층 ,㈜종이나라,㈜종이나라,장충단로
65,짚풀생활사박물관,37.584851,126.999954,서울특별시 종로구 성균관로 4길 45,짚풀문화재단,짚풀문화재단,성균관로
66,초전섬유퀼트박물관,37.558158,126.984233,서울특별시 중구 퇴계로 18길 66,김순희,김순희,퇴계로
67,춘원당한방박물관,37.571517,126.99028799999999,서울특별시 종로구 돈화문로 9길 27,이윤선,이윤선,돈화문로
68,코리아나화장박물관,37.524051,127.032784,서울특별시 언주로 827 코리아나아트센타,기업,기업,주의!!서울특별시 언주로 827 코리아나아트센타
69,탄허기념박물관,37.479002,127.102944,서울특별시 밤고개로14길 13-51,종교법인,종교법인,주의!!서울특별시 밤고개로14길 13-51
70,평강성서유물박물관,37.491971,126.84405100000001,서울특별시 구로구 오류로8리길 44,재단법인,재단법인,오류로8리길
71,피규어뮤지엄W,,,서울특별시 청담동 84-9,기업,기업,주의!!서울특별시 청담동 84-9
72,한국가구박물관,37.600014,126.99311999999999,서울특별시 성북구 대사관로 121(성북동),정미숙,정미숙,대사관로
73,한국광고박물관,37.51583,127.099222,서울특별시 송파구 올림픽로35길 137,한국방송광고진흥공사,한국방송광고진흥공사,올림픽로35길
74,한국금융사박물관,37.568459999999995,126.97627299999999,서울특별시 중구 세종대로 135-5,신한은행,신한은행,세종대로
75,한국색동박물관,,,"서울특별시 종로구 율곡로10길, 85-7",김옥현,김옥현,"율곡로10길,"
76,한국은행 화폐박물관,37.562075,126.980538,서울특별시 중구 남대문로 39,한국은행,한국은행,남대문로
77,한국잡지박물관,37.519773,126.930237,"서울특별시 영등포구 여의대방로 67길 11, 잡지화관 B1층",한국잡지협회,한국잡지협회,여의대방로
78,한국천주교순교자박물관,,,서울특별시 마포구 토정로 6 (합정동),"천주교서울특별시대교구
유지재단","천주교서울특별시대교구
유지재단",토정로
79,한국현대문학관,,,서울특별시 중구 동호로 268,전숙희,전숙희,동호로
80,한국현대의상박물관,37.575461,127.00550700000001,"서울특별시 종로구 율곡로 241-2 수진빌딩 9,10층",신혜순,신혜순,율곡로
81,한무숙 문학관,37.587793,126.99859099999999,서울특별시 종로구 혜화로 9길 20,김진흥,김진흥,혜화로
82,한익환서울특별시아트박물관,,,서울특별시 용산구 한남대로 108,김인순,김인순,한남대로
83,혜곡최순우기념관,37.592904,127.00031399999999,서울특별시 성북구 성북로 15길 9,윤상구(재단법인 내셔널트러스트 문화유산기금),윤상구(재단법인 내셔널트러스트 문화유산기금),성북로
84,호림박물관(신림본관),,,서울특별시 남부순환로 152길 53,성보문화재단,성보문화재단,주의!!서울특별시 남부순환로 152길 53
85,호림박물관(신사분관),,,서울특별시 도산대로317,성보문화재단,성보문화재단,주의!!서울특별시 도산대로317
86,화정박물관,37.604654,126.965901,서울특별시 종로구 평창8길 3,한빛문화재단,한빛문화재단,평창8길
87,건국대학교박물관,37.542383,127.07561399999999,서울특별시 광진구 능동로 120,건국대학교,건국대학교,능동로
88,경희대학교 자연사박물관,37.59771,127.055198,서울특별시 동대문구 경희대로26,경희대학교,경희대학교,주의!!서울특별시 동대문구 경희대로26
89,경희대학교 중앙박물관,37.597043,127.053142,서울특별시 동대문구 경희대로 26,경희대학교,경희대학교,경희대로
90,경희대학교 한의학역사박물관,,,서울특별시 동대문구 경희대로 26 경희대학교 한의과대학 403호,경희대학교,경희대학교,경희대로
91,고려대학교박물관,37.589433,127.03453200000001,서울특별시 성북구 안암로 145,고려대학교,고려대학교,안암로
92,국민대학교박물관,37.612707,126.993619,서울특별시 정릉로 77,국민대학교,국민대학교,주의!!서울특별시 정릉로 77
93,덕성여자대학교박물관,37.652736,127.01654099999999,서울특별시 도봉구 삼양로 144길 33,덕성여자대학교,덕성여자대학교,삼양로
94,동국대학교 박물관,,,서울특별시 중구 필동로1길 30,동국대학교,동국대학교,필동로1길
95,삼육대학교박물관,37.642261,127.107832,서울특별시 노원구 화랑로 815,삼육대학교,삼육대학교,화랑로
96,상명대학교 박물관,37.610541,126.975955,서울특별시 종로구 평창문화로 151,상명대학교,상명대학교,평창문화로
97,서울대학교치의학대학원치의학박물관,,,서울특별시 종로구 대학로 103 서울특별시대학교 치의학대학원,서울특별시대학교,서울특별시대학교,대학로
98,서울대학교박물관,37.464529999999996,126.95220900000001,서울특별시 관악구 관악로 1,서울특별시대학교,서울특별시대학교,관악로
99,서울시립대학교 박물관,37.583155,127.05694799999999,서울특별시 동대문구 서울특별시립대로 163,서울특별시특별시립대학교,서울특별시특별시립대학교,서울특별시립대로
100,서울여자대학교박물관,,,서울특별시 노원구 화랑로 621,서울특별시여자대학교,서울특별시여자대학교,화랑로
101,성균관대학교 박물관,37.587447,126.99475100000001,서울특별시 종로구 성균관로 25-2,성균관대학교,성균관대학교,성균관로
102,성신여자대학교 박물관,37.591711,127.021257,서울특별시 성북구 보문로 34다길 2,성신여자대학교,성신여자대학교,보문로
103, 성신여자대학교자연사박물관,,,서울특별시 강북구 도봉로 76가길 55,사립: 이숙종,사립: 이숙종,도봉로
104,성신여자대학교정원박광훈 복식박물관,,,서울특별시 강북구 도봉로 76가길 55,사립: 이숙종,사립: 이숙종,도봉로
105,세종대학교박물관,37.551520000000004,127.075253,서울특별시 광진구 능동로 209,세종대학교,세종대학교,능동로
106,숙명여자대학교박물관,37.544678999999995,126.96411,서울특별시 용산구 청파로 47길 100,숙명여자대학교,숙명여자대학교,청파로
107,숙명여자대학교 정영양자수박물관,,,서울특별시 용산구 청파로 47길 100,숙명여자대학교,숙명여자대학교,청파로
108,숭실대학교 한국기독교박물관,37.495554999999996,126.95707,서울특별시 동작구 상도로369,숭실대학교,숭실대학교,주의!!서울특별시 동작구 상도로369
109,연세대학교박물관,37.561825,126.937904,서울특별시 서대문구 연세로 50,연세대학교,연세대학교,연세로
110,이화여대박물관,37.560297999999996,126.94473500000001,서울특별시 서대문구 이화여대길 52,이화여자대학교,이화여자대학교,이화여대길
111,이화여자대학교 자연사박물관,37.560603,126.94820800000001,서울특별시 서대문구 이화여대길 52,이화여자대학교,이화여자대학교,이화여대길
112,한양대학교박물관,37.555271000000005,127.04472700000001,서울특별시 성동구 왕십리로222,학교법인 한양학원,학교법인 한양학원,주의!!서울특별시 성동구 왕십리로222
113,홍익대학교  박물관,37.550714,126.92604299999999,서울특별시 마포구 와우산로 94 홍익대학교 문헌관 3층,홍익대학교,홍익대학교,와우산로
114,동덕여자대학교박물관,37.606597,127.042782,서울특별시 화랑로 13길 60 동덕여자대학교,동덕여자대학교,동덕여자대학교,주의!!서울특별시 화랑로 13길 60 동덕여자대학교
115,겸재정선미술관,37.57224,126.838467,서울특별시 강서구 양천로4길 36,강서구,강서구,양천로4길
116,서울특별시특별시립미술관,,,서울특별시 중구 덕수궁길 61,서울특별시특별시,서울특별시특별시,덕수궁길
