자치구,행정동코드,법정동,행정동,시설ID,시설명,주소,Latitude,Longitude,geometry
성동구,1120066000,성수동1가,성수1가제2동,성동6호점,성동6호점 우리동네키움센터(성수쌍용아이꿈누리터),서울특별시 성동구 상원길63 쌍용아파트,37.5495103,127.0469355,POINT (127.0469355 37.5495103)
성동구,1120065000,성수동1가,성수1가제1동,성동5호점,성동5호점 우리동네키움센터(성수복지관아이꿈누리터),서울특별시 성동구 뚝섬로1길 43,37.5454017,127.0469567,POINT (127.0469567 37.5454017)
성동구,1120058000,응봉동,응봉동,성동4호점,성동4호점 우리동네키움센터(응봉아이꿈누리터),서울특별시 성동구 독서당로 381,37.5509707,127.0309944,POINT (127.0309944 37.5509707)
성동구,1120054000,마장동,마장동,성동3호점,성동3호점 우리동네키움센터(마장아이꿈누리터),서울특별시 성동구 마장로39길 33,37.5681479,127.0431128,POINT (127.0431128 37.5681479)
성동구,1120054000,상왕십리동,마장동,성동2호점,성동2호점 우리동네키움센터(왕십리도선동아이꿈누리터),서울특별시 성동구 마장로 141,37.5663079,127.0369547,POINT (127.0369547 37.5663079)
성동구,1120052000,하왕십리동,왕십리제2동,성동1호점,성동1호점 우리동네키움센터(스위첸아이꿈누리터),서울특별시 성동구 무학봉길 35 KCC스위첸아파트,37.5604626,127.0269538,POINT (127.0269538 37.5604626)
성동구,1120062000,금호동4가,금호4가동,성동10호점,성동10호점 우리동네키움센터(금호대우 아이꿈누리터),서울특별시 성동구 독서당로 272,37.5459238,127.019517,POINT (127.019517 37.5459238)
서초구,1165065100,우면동,양재1동,서초1호점,서초1호점 우리동네키움센터(서초구립 우면동 초등키움센터),서울특별시 서초구 양재대로2길 116-19,37.456781,127.0161436,POINT (127.0161436 37.456781)
서대문구,1141071000,북가좌동,북가좌제1동,서대문1호점,서대문1호점 우리동네키움센터(북가좌 우리동네키움센터 친구랑),서울특별시 서대문구 거북골로 195-1,37.5781252,126.9090217,POINT (126.9090217 37.5781252)
마포구,1144069000,망원동,망원제1동,마포2호점,마포2호점 우리동네키움센터(망원1동),서울시 마포구 희우정로 77,37.5527613,126.903691,POINT (126.903691 37.5527613)
마포구,1144073000,성산동,성산제2동,마포1호점,마포1호점 우리동네키움센터(성산2동),"서울특별시 마포구 월드컵로 36길52,",37.5684146,126.9057912,POINT (126.9057912 37.5684146)
동작구,1159065100,사당동,사당제5동,동작3호점,동작3호점 우리동네키움센터(사당5동),서울특별시 동작구 사당로 154,37.4875456,126.9665117,POINT (126.9665117 37.4875456)
동작구,1159067000,신대방동,신대방제1동,동작2호점,동작2호점 우리동네키움센터(신대방1동),서울특별시 동작구 신대방2길 42-10,37.4894135,126.9126144,POINT (126.9126144 37.4894135)
