,정류장명,위도,경도,표준ID,ARS-ID
148,신설동로터리.신한은행앞.서울풍물시장,37.574386097399994,127.02311827690001,100000191,1289
149,청계2가.삼일교,37.5684458702,126.9872214307,100000192,1291
150,청계8가.황학교,37.5721307298,127.0227870051,100000193,1292
151,평창동삼성아파트,37.610966999999995,126.97836799999999,100000355,1293
152,안국역.종로경찰서.인사동,37.5763329308,126.98553654860001,100000370,1294
153,안국역.종로경찰서.인사동,37.5764011758,126.984768262,100000369,1295
154,창덕궁,37.5772280879,126.9890031166,100000371,1296
155,남인사마당,37.5713191723,126.9874286375,100000413,1297
156,평창파출소,37.605681218,126.96681670209999,100900047,1500
157,삼청공원,37.5882276807,126.98164689459999,100900178,1501
158,수성동계곡,37.5820791626,126.964246771,100900041,1502
159,명륜3가종점,37.5909483783,126.99286367959999,100900040,1503
160,명륜새마을금고,37.5876532654,126.99670489100001,100900197,1504
161,서대문3번출구,37.5664160731,126.9662183105,100900044,1505
162,낙산공원,37.5804037213,127.0087215681,100900039,1506
163,인사미술공간.세탁소,37.5814109836,126.9893670844,100900037,1507
164,평화동물병원,37.6048011982,126.96488374540002,100900036,1508
165,금융연수원,37.5865984991,126.9815691643,100900035,1509
166,박노수미술관,37.5809967425,126.966603478,100900034,1510
167,샘미용실,37.5903095275,126.9932227051,100900032,1511
168,서울국제고등학교,37.589071594699995,126.9972902593,100900031,1512
169,평화동물병원,37.6049806084,126.96520078969999,100900029,1513
170,적십자병원후문앞,37.5675295356,126.96522727690001,100900188,1514
171,서울성곽.성대후문,37.5892576959,126.98963207370001,100900202,1515
172,빨래터.고희동미술관,37.5831008302,126.9889727997,100900026,1516
173,세검초등학교,37.604252279200004,126.9614907597,100900025,1517
174,삼청동주민센터,37.5842638281,126.98190716190001,100900024,1518
175,통인시장,37.5804530718,126.96875043040001,100900020,1519
176,양현관,37.5897914226,126.99360436149999,100900021,1520
177,국민생활관,37.5897456349,126.9988619666,100900017,1521
178,오거리,37.6070621164,126.9622629001,100900016,1522
179,경희궁자이2.3단지,37.5687871134,126.9640686009,100900015,1523
180,창신쌍용2단지.한성대후문,37.5812647965,127.0127581151,100900013,1524
181,통일부,37.5875948053,126.9859476734,100900045,1525
182,원서고개,37.583080553,126.9878088426,100900011,1526
183,종로5가입구.혜화경찰서,37.571747236,126.99754108100001,100900009,1528
184,삼청파출소,37.581813661999995,126.9812510491,100900007,1529
185,오거리.한옥마을입구,37.5794963204,126.9695411172,100900005,1530
186,명륜시장.성대후문,37.5885110529,126.9952543092,100900046,1531
187,혜화초등학교,37.5872532276,126.99985166430001,100900003,1532
188,청련사입구,37.6079803769,126.9624312007,100900072,1533
189,영천시장,37.5700050081,126.96283518879999,100900071,1534
190,명신초.삼선푸르지오.힐스테이트,37.582106206700004,127.014556281,100900070,1535
191,감사원,37.586210651799995,126.9852900569,100900069,1536
192,중앙중고,37.583092177,126.98696529899999,100900068,1537
193,인왕빌딩,37.6079283311,126.9577443332,100900067,1538
194,종로4가.종묘공원,37.570632806999996,126.99446243780001,100900066,1539
195,국립민속박물관,37.5792551846,126.9795533717,100900174,1540
196,광화문새마을금고,37.5793687689,126.97114664909999,100900065,1541
197,새마을금고,37.587737061300004,126.99651805100001,100900064,1542
198,혜화우체국,37.586037656500004,127.0006137149,100900063,1543
199,언덕앞,37.608953975300004,126.96379217149999,100900062,1544
200,경희궁자이4단지,37.5707022242,126.9621148375,100900061,1545
201,종로센트레빌후문.e편한세상보문아파트,37.5817743934,127.0161855253,100900060,1546
202,사우디대사관앞.경남빌라,37.5841056738,126.9850311776,100900059,1547
203,안국선원.삼거리,37.5827909789,126.984994076,100900058,1548
204,구기터널입구,37.6082046142,126.9567768927,100900182,1549
205,종로3가.1.3.5호선,37.5710729861,126.99218066280001,100900057,1550
206,경복궁,37.576950157,126.97933775610001,100900056,1551
207,경복궁역,37.5766774815,126.97227646469999,100900055,1552
208,소나무집,37.6112770717,126.96411046600001,100900054,1553
209,독립문역3번출구,37.5728784775,126.9597453483,100900186,1554
210,청룡사.보문파크뷰자이아파트,37.5800189539,127.01700714,100900053,1555
211,북촌한옥마을입구.정세권활동터,37.5815997311,126.9849422317,100900052,1556
